backend,global_chunk,doc_id,local_chunk
bert,5,,
bert,8,,
bert,11,,
bert,18,,
bert,23,,
bert,25,,
bert,29,,
bert,37,,
bert,43,,
bert,52,,
bert,55,,
bert,58,,
bert,62,,
bert,68,,
bert,72,,
bert,74,,
bert,76,,
bert,85,,
bert,89,,
bert,91,,
bert,95,,
bert,100,,
bert,104,,
bert,113,,
bert,116,,
bert,122,,
bert,128,,
bert,130,,
bert,132,,
bert,134,,
bert,136,,
bert,139,,
bert,145,,
bert,150,,
bert,153,,
bert,155,,
bert,161,,
bert,163,,
bert,167,,
bert,169,,
bert,173,,
bert,179,,
bert,182,,
bert,186,,
bert,192,,
bert,198,,
bert,200,,
bert,206,,
bert,208,,
bert,212,,
bert,214,,
bert,217,,
bert,219,,
bert,225,,
bert,228,,
bert,235,,
bert,237,,
bert,239,,
bert,245,,
bert,247,,
bert,249,,
bert,251,,
bert,253,,
bert,259,,
bert,261,,
bert,266,,
bert,272,,
bert,276,,
bert,279,,
bert,285,,
bert,291,,
bert,293,,
bert,295,,
bert,297,,
bert,301,,
bert,310,,
bert,317,,
bert,320,,
bert,323,,
bert,325,,
bert,331,,
bert,336,,
bert,340,,
bert,342,,
bert,345,,
bert,347,,
bert,351,,
bert,353,,
bert,364,,
bert,367,,
bert,374,,
bert,377,,
bert,379,,
bert,384,,
bert,389,,
bert,391,,
bert,393,,
bert,396,,
bert,399,,
bert,402,,
bert,407,,
bert,412,,
bert,415,,
bert,422,,
bert,427,,
bert,429,,
bert,434,,
bert,436,,
bert,438,,
bert,440,,
bert,443,,
bert,445,,
bert,447,,
bert,449,,
bert,453,,
bert,456,,
bert,460,,
bert,462,,
bert,467,,
bert,474,,
bert,481,,
bert,485,,
bert,488,,
bert,492,,
bert,495,,
bert,497,,
bert,506,,
bert,508,,
bert,514,,
bert,516,,
bert,518,,
bert,521,,
bert,523,,
bert,527,,
bert,530,,
bert,532,,
bert,534,,
bert,541,,
bert,549,,
bert,553,,
bert,558,,
bert,561,,
bert,564,,
bert,566,,
bert,569,,
bert,578,,
bert,583,,
bert,587,,
bert,594,,
bert,600,,
bert,606,,
bert,608,,
bert,615,,
bert,619,,
bert,622,,
bert,625,,
bert,628,,
bert,635,,
bert,642,,
bert,645,,
bert,647,,
bert,652,,
bert,654,,
bert,657,,
bert,660,,
bert,662,,
bert,664,,
bert,666,,
bert,668,,
bert,673,,
bert,675,,
bert,677,,
bert,681,,
bert,687,,
bert,690,,
bert,692,,
bert,694,,
bert,696,,
bert,702,,
bert,714,,
bert,717,,
bert,719,,
bert,725,,
bert,730,,
bert,733,,
bert,735,,
bert,737,,
bert,741,,
